year,scheduled,mini.pia,tax.ssb,cap.spouse,survivorjs75,tax.max.90,tax.max.90.FICA.134,fica.134,cola.chain.cpi,reduce.cola,increase.fra,increase.fra.era,taxmax150000,taxmax180000,no.tax.max
2005,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106,1.324229106
2006,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413,1.341094413
2007,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841,1.32024841
2008,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462,1.288188462
2009,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686,1.177440686
2010,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995,1.096279995
2011,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951,1.093706951
2012,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027,1.069242027
2013,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817,1.039004817
2014,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191,1.029148191
2015,1.090556625,1.090470846,1.090859821,1.090556625,1.090556625,1.090556625,1.09055578,1.09055578,1.090556625,1.090556625,1.090556625,1.090556625,1.090556625,1.090556625,1.090556625
2016,1.037794168,1.037673562,1.038150972,1.037794168,1.037794168,1.062695136,1.069821264,1.044748055,1.037794168,1.03779421,1.037794168,1.037794168,1.044903516,1.050841168,1.188600922
2017,1.043428851,1.043327554,1.043860804,1.043428851,1.043428851,1.08567018,1.100511845,1.057694353,1.046313972,1.045979945,1.043428851,1.043428851,1.055996147,1.066434434,1.19506213
2018,1.032770099,1.032655114,1.033268175,1.032770099,1.032770099,1.084579425,1.10712539,1.05426905,1.038477772,1.037919891,1.032770099,1.032770099,1.048913253,1.062322757,1.181850516
2019,1.019434825,1.019308868,1.019988134,1.019434825,1.019434825,1.084652348,1.115121337,1.04816147,1.027895968,1.027087269,1.019434825,1.019434825,1.035417676,1.054053243,1.178892558
2020,0.999378113,0.99926212,0.996681315,0.999378113,0.999378113,1.068498122,1.106526278,1.035125392,1.010413101,1.009346231,0.999378113,0.999397133,1.015165835,1.03359807,1.15336312
2021,0.992517032,0.992364368,0.989199658,0.992517032,0.992517032,1.069575356,1.115931788,1.03585186,1.006148138,1.004683726,0.992517032,0.99251596,1.008916295,1.027600044,1.154568787
2022,0.966654145,0.966442805,0.963143093,0.966785305,0.967011165,1.043973768,1.097559256,1.01675245,0.982481279,0.980735698,0.966654189,0.966618107,0.983395291,1.001600345,1.121467152
2023,0.959489988,0.959001778,0.955496619,0.959942632,0.960663752,1.048559876,1.111062391,1.017399182,0.977789502,0.975694194,0.959490097,0.959369928,0.977104752,0.995783455,1.127500429
2024,0.931766765,0.930890748,0.927661247,0.932603254,0.934135698,1.024690616,1.094587865,0.996318869,0.952058594,0.949646644,0.931787318,0.931775642,0.949505692,0.968062003,1.102849325
2025,0.911945666,0.910192987,0.907545092,0.913410448,0.916246913,1.00394882,1.0817121,0.983975336,0.934390632,0.931663719,0.912022625,0.9120593,0.930489095,0.949388188,1.080106603
2026,0.90629369,0.903221302,0.901285376,0.908541591,0.912729022,1.007790919,1.089110958,0.981228002,0.931276023,0.928189118,0.906472309,0.907025965,0.926192698,0.945827384,1.088812137
2027,0.890223533,0.885353147,0.884963758,0.893483602,0.89941857,0.99163846,1.075450459,0.967691579,0.917549779,0.914129951,0.890574474,0.891060612,0.911621046,0.931686313,1.070828811
2028,0.88167146,0.87461114,0.875914806,0.885887007,0.893531219,0.990728914,1.078549197,0.962678247,0.911608739,0.90784062,0.882243958,0.883094659,0.904774498,0.925926632,1.077987016
2029,0.866666641,0.856716847,0.860482549,0.871923197,0.881233986,0.979975249,1.071429052,0.951044249,0.899136378,0.895015912,0.868284704,0.869259811,0.891439573,0.913405125,1.068011496
2030,0.849920939,0.836867413,0.843336153,0.856040717,0.867043246,0.961830297,1.055000338,0.936113582,0.884224204,0.87982998,0.852020404,0.853201002,0.875410364,0.897142911,1.049280247
2031,0.833083927,0.816716538,0.826134073,0.839953515,0.852369172,0.944803899,1.039170335,0.920462548,0.868850742,0.864242048,0.836305088,0.837581154,0.859289397,0.881327891,1.02871041
2032,0.819377753,0.799627181,0.812177715,0.826845495,0.840902515,0.934421785,1.029311182,0.906994373,0.856197381,0.851413258,0.822998521,0.82435051,0.846153421,0.868005156,1.018715134
